code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title1,"Previously <span class='hl sblue'>male</span> dominated, now majority <span class='hl sred'>female</span>","Autrefois <span class='hl sblue'>masculin</span>, désormais majoritairement <span class='hl sred'>féminin</span> ","Ursprünglich <span class='hl sblue'>männlich</span>, dominiert, heute mehrheitlich <span class='hl sred'>weiblich</span> ",,"Anteriormente <span class='hl sblue'>masculino</span>, agora predominantemente<span class='hl sred'>feminino</span> ",في السابق<span class='hl sblue'>كانت ذكورية</span>، وأصبحت الآن ذات أغلبية<span class='hl sred'>نسائية</span>,"Профессии, в которых в прошлом доминировали<span class='hl sblue'>мужчины</span>, а
теперь<span class='hl sred'>женщины</span>","Otrora<span class='hl sblue'>masculino</span>, actualmente, mayoritariamente <span class='hl sred'>femenino</span> ",かつては <span class='hl sblue'>男性社会</span>だったが、 <span class='hl sred'>女性社会</span>に転じた職業,过去 <span class='hl sblue'>男性</span> 占主导地位，现如今逾半数从业者为 <span class='hl sred'>女性</span>
descr1,Professions with the biggest increase in females and where women have replaced men as the majority. ,Professions ayant connu les plus grandes augmentations du nombre de femmes et un renversement de la majorité de genre.,Berufe mit dem grössten Zuwachs an Frauen und in denen Frauen die Männer als Mehrheit ersetzt haben. ,,Profissões com o maior aumento de mulheres e onde as mulheres substituíram homens como maioria.,مهن شهدت أكبر الزيادات في عدد النساء وعكسا للأغلبية على مستوى النوع,"Профессии, в которых число женщин выросло особенно заметно и в которых
женщины завоевали большинство

",Profesiones que han registrado un mayor aumento en el número de mujeres y una modificación en la mayoría de género.,女性の割合が男性を上回った職業,女性从业人数增幅最大，且女性雇员人数日益超越男性雇员、成为中坚力量的行业。
descr2,Percentage of <span class='hl sblue'>men</span>/<span class='hl sred'>women</span> by profession.,Pourcentages d'<span class='hl sblue'>hommes</span>/<span class='hl sred'>femmes</span> par profession. ,Anteil d'<span class='hl sblue'>Männer</span>/<span class='hl sred'>Frauen</span> nach Beruf.,,Porcentagem de<span class='hl sblue'>homens</span>/<span class='hl sred'>mulheres</span> por profissão.,النسب المائوية لـ <span class='hl sblue'>الرجال</span>/<span class='hl sred'>والنساء</span>حسب المهن.,"Процентная доля<span class='hl sblue'>мужчин</span>/<span class='hl sred'>и женщин</span>по профессиям

",Porcentajes de<span class='hl sblue'>hombres</span>/<span class='hl sred'>mujeres</span> por profesión.,職業別の <span class='hl sred'>女性</span>の割合と<span class='hl sblue'>男性</span>の割合,各行业<span class='hl sblue'>男性</span>/<span class='hl sred'>女性</span>比例 。
hommes,men,hommes,Männer,,homens,رجال ,мужчины,hombres,男性,男性
femmes,women,femmes,Frauen,,mulheres,نساء,женщины,mujeres,女性,女性
emplois,jobs,emplois,Berufe,,empregos,وظائف ,профессии,empleos,職業,职业
h3.1,Health professions,Professions de la santé,Gesundheitsberufe,,Profissões da saúde,مهن القطاع الصحي,Профессии в сфере здравоохранения,Profesiones de la salud,医療従事者,医疗保健行业
h3.2,Education and teaching,Professions de l'éducation et de l'enseignement,Erziehung und Lehre,,Educação e ensino,مهن التربية والتعليم ,Образование и преподавание,Profesiones de la educación y la enseñanza,教育・指導,教育与教学
h3.3,"Social, human and natural science professions","Professions en sciences sociales, humaines et naturelles",Soziale Berufe sowie Human- und Naturwissenschaftsberufe,,"Profissões de ciências sociais, humanas e naturais",مهن العلوم الإجتماعية والإنسانية والطبيعية,"Профессии в сфере естественных наук, социального обеспечения","Profesiones en ciencias sociales, humanas y naturales",社会・人文・自然科学者,社会、人文及自然科学专业
h3.4,Artistic professions,Professions artistiques,Künstlerische Berufe,,Profissões artísticas,مهن فنية ,Творческие профессии,Profesiones artísticas,芸術家,艺术相关职业
h3.5,"Management, administration, legal professions and communication","Professions du management, de l'administration, judiciaires et de la communication","Berufe im Management, in der Administration, Kommunikation und juristische Berufe",,"Gestão, administração, profissões jurídicas e comunicação",مهن التسيير والتصرف والإدارة والقانون والإتصال  ,"Менеджмент, управление, юриспруденция, коммуникация","Profesiones de gestión, administración, judiciales y de la comunicación",経営・管理・法律専門家、広報,管理、行政、法律以及传播业
main.title2,Professions where women are catching up but men remain the majority,"Métiers proches du renversement, mais qui demeurent majoritairement <span class='hl sblue'>masculins</span>","Berufe, in denen Frauen aufholen, die Männer aber eine Mehrheit bleiben",,"Profissões onde as mulheres estão se recuperando, mas os homens continuam sendo a maioria","مهن تقترب من لحظة عكس الإتجاه، لكنها تظل في
الغالب<span class='hl sblue'>ذكورية</span>","Профессии, в которых число женщин растет, но мужчины сохраняют пока большинство
","Profesiones cercanas a un cambio, pero que se mantienen  mayoritariamente <span class='hl sblue'>masculinas</span>",女性の割合が増えているが、なお男性が過半を占める職業,女性职场地位正日益提高、但男性仍然占据主导地位的职业
main.title3,"Professions most marked by gender, where little has changed in 50 years","Les professions les plus sexuées, pour lesquels peu a changé en 50 ans","Die am meisten durch das Geschlecht geprägten Berufe, in denen sich in den letzten 50 Jahren wenig geändert hat.",,"Profissões mais marcadas por gênero, onde pouco mudou em 50 anos",المهن الأكثر ارتباطا بالجنس والتي لم يطرأ عليها تغيير يُذكر خلال 50 عاما,"Профессии, в которых особенно выражена гендерная составляющая, но в которых на последние полвека ничего не изменилось","Profesiones más diferenciadas por sexo, cuya situación ha cambiado poco en 50 años",男性社会で、過去５０年ほとんど変化がない職業,过去50年来男女从业者人数近乎一成不变、且性别差异最明显的职业
h3.1b,Professions that remain male-dominated,Les métiers qui restent chargés de testostérone,"Berufe, die männlich dominiert bleiben",,Profissões que permanecem dominadas pelos homens,المهن الذي تظل مُسيطرا عليها من طرف الذكور,"Профессии, в которых мужчины остаются в большинстве",Profesiones que siguen cargadas de testosterona,男性支配の職業,依然以男性为主体的行业
h3.2b,Professions that remain female-dominated,Les professions immuablement féminines,"Berufe, die weiblich dominiert bleiben",,Profissões que permanecem dominadas pelas mulheres,المهن التي تظل نسوية بامتياز,"Профессии, в которых женщины остаются в большинстве",Profesiones inmutablemente femeninas,女性支配の職業,依然以女性为主体的行业
source,Source,source,Quelle,Fonte,Fonte,المصدر,Источник,Fuente,出典,来源
source.name,Federal Office of Statistics,Office fédéral de la statistique,Bundesamt für Statistik,,Departamento Federal de Estatística,المكتب الفدرالي للإحصاء,Федеральное ведомство статистики (BfS),Oficina Federal de Estadísticas,連邦統計局,瑞士联邦统计局
code,Code,code,Code,Codice,código,الرمز,Код,código,コード,代码
code.name,highcharter,highcharter,highcharter,highcharter,highcharter,highcharter,схема,highcharter,highcharter,highcharter
inspiredBy,", inspired from",", inspiré par ",", inspiriert von",,", inspirado em",مستوحى من ,на основе,",inspirado por",着想,，新闻来源
111.01,Agriculture,Agriculteurs,Landwirte,,Agricultura,مزارعون,Аграрный сектор,Agricultores,農業,农业
114.02,Floristry,Fleuristes,Floristen,,Florista,بيع الزهور,Флорист,Floristas,花屋,花艺设计
211.01,Cheese and dairy production,Fromagers et laitiers,Käser und Molkereiproduzenten,,Produção de queijo e leite,إنتاج الحليب والأجبان,Производство сыра и молочной продукции,Queseros y lecheros,チーズ、乳製品,奶酪及乳制品生产
211.02,Butchery,"Bouchers, charcutiers",Metzger,,Açougue,الجزارون ,Мясник,Carniceros y charcuteros,精肉店,屠宰业
211.03,Bakery and cake/ sweet making,"Boulangers, pâtissiers et confiseurs","Bäcker, Konditeure und Confiseure",,Padaria e confeitaria,الخبازون، طهاة المعجنات والحلويات,Булочник/кондитер,"Panaderos, pasteleros y confiteros",パン・菓子店,面包、蛋糕和甜品制作
253.02,Car mechanics,Mécaniciens en automobiles,Automechaniker,,Mecânica de carros,إصلاح السيارات,Автослесарь,Mecánicos automovilistas,自動車整備,汽车修理
291.03,Stock/warehouse keeping,"Magasiniers, manutentionnaires","Lageristen, Verpacker",,Conservação de estoque/armazém,أمناء المستودعات، تفريغ البضائع,Логистика/складской работник,Almaceneros y operarios de almacén,卸問屋,库存储备/仓库物资保管
311.04,Mechanical engineering,Ingénieurs en machines,Maschineningenieure,,Engenharia Mecânica,هندسة الآلات,Инженер,Ingenieros en maquinarias,機械技師,机械工程
412.04,Painting and decorating,"Peintres, tapissiers",Maler und Tapezierer,,Pintura e decoração,الدهن والتزويق,Живопись и дизайн,Pintores y tapiceros,塗装,油漆及装潢
521.01,Advertising ,Spécialistes en publicité,Werber,,Propaganda,الدعاية والإعلان,Реклама,Especialistas en publicidad,広告,广告业
521.02,Public relations,Spécialistes en relations publiques,Spezialisten für Public Relations,,Relações públicas,علاقات عامة,Пиар,Especialistas en relaciones públicas,広報,公关
